,Country,Date,Seat_count
0,Australia,Feb-20," 55,797 "
1,Australia,Mar-20," 55,908 "
2,Australia,Apr-20," 10,856 "
3,Australia,May-20," 8,135 "
4,Australia,Jun-20," 10,401 "
5,Australia,Jul-20," 15,277 "
6,Australia,Aug-20," 15,090 "
7,Australia,Sep-20," 16,316 "
8,Australia,Oct-20," 18,217 "
9,Australia,Nov-20," 20,109 "
10,Australia,Dec-20," 32,468 "
11,Australia,Jan-21," 27,996 "
12,Brazil,Feb-20," 70,412 "
13,Brazil,Mar-20," 67,825 "
14,Brazil,Apr-20," 6,262 "
15,Brazil,May-20," 6,245 "
16,Brazil,Jun-20," 9,648 "
17,Brazil,Jul-20," 16,579 "
18,Brazil,Aug-20," 21,044 "
19,Brazil,Sep-20," 28,202 "
20,Brazil,Oct-20," 35,771 "
21,Brazil,Nov-20," 40,546 "
22,Brazil,Dec-20," 48,207 "
23,Brazil,Jan-21," 52,963 "
24,China,Feb-20," 193,787 "
25,China,Mar-20," 241,431 "
26,China,Apr-20," 225,034 "
27,China,May-20," 290,980 "
28,China,Jun-20," 319,162 "
29,China,Jul-20," 369,770 "
30,China,Aug-20," 400,846 "
31,China,Sep-20," 393,516 "
32,China,Oct-20," 412,646 "
33,China,Nov-20," 382,851 "
34,China,Dec-20," 395,514 "
35,China,Jan-21," 377,552 "
36,France,Feb-20," 50,626 "
37,France,Mar-20," 45,477 "
38,France,Apr-20," 7,142 "
39,France,May-20," 6,440 "
40,France,Jun-20," 8,672 "
41,France,Jul-20," 25,740 "
42,France,Aug-20," 34,325 "
43,France,Sep-20," 30,607 "
44,France,Oct-20," 26,139 "
45,France,Nov-20," 14,529 "
46,France,Dec-20," 19,169 "
47,France,Jan-21," 20,011 "
48,Germany,Feb-20," 66,242 "
49,Germany,Mar-20," 51,365 "
50,Germany,Apr-20," 6,465 "
51,Germany,May-20," 8,751 "
52,Germany,Jun-20," 11,419 "
53,Germany,Jul-20," 25,601 "
54,Germany,Aug-20," 32,077 "
55,Germany,Sep-20," 30,975 "
56,Germany,Oct-20," 28,171 "
57,Germany,Nov-20," 15,513 "
58,Germany,Dec-20," 14,541 "
59,Germany,Jan-21," 12,754 "
60,India,Feb-20," 107,014 "
61,India,Mar-20," 105,251 "
62,India,Apr-20," 36,922 "
63,India,May-20," 49,912 "
64,India,Jun-20," 34,506 "
65,India,Jul-20," 48,682 "
66,India,Aug-20," 42,770 "
67,India,Sep-20," 48,842 "
68,India,Oct-20," 59,485 "
69,India,Nov-20," 61,975 "
70,India,Dec-20," 72,249 "
71,India,Jan-21," 77,497 "
72,Japan,Feb-20," 88,098 "
73,Japan,Mar-20," 82,025 "
74,Japan,Apr-20," 60,778 "
75,Japan,May-20," 53,404 "
76,Japan,Jun-20," 54,350 "
77,Japan,Jul-20," 64,007 "
78,Japan,Aug-20," 71,332 "
79,Japan,Sep-20," 59,947 "
80,Japan,Oct-20," 60,878 "
81,Japan,Nov-20," 60,549 "
82,Japan,Dec-20," 63,350 "
83,Japan,Jan-21," 58,342 "
84,Mexico,Feb-20," 53,354 "
85,Mexico,Mar-20," 54,194 "
86,Mexico,Apr-20," 22,875 "
87,Mexico,May-20," 10,521 "
88,Mexico,Jun-20," 19,644 "
89,Mexico,Jul-20," 27,274 "
90,Mexico,Aug-20," 27,516 "
91,Mexico,Sep-20," 28,885 "
92,Mexico,Oct-20," 31,997 "
93,Mexico,Nov-20," 35,194 "
94,Mexico,Dec-20," 40,100 "
95,Mexico,Jan-21," 40,103 "
96,Singapore,Feb-20," 13,229 "
97,Singapore,Mar-20," 8,723 "
98,Singapore,Apr-20," 1,087 "
99,Singapore,May-20, 576 
100,Singapore,Jun-20, 721 
101,Singapore,Jul-20, 973 
102,Singapore,Aug-20," 1,175 "
103,Singapore,Sep-20, 968 
104,Singapore,Oct-20," 1,144 "
105,Singapore,Nov-20," 1,242 "
106,Singapore,Dec-20," 1,751 "
107,Singapore,Jan-21," 1,902 "
108,South Africa,Feb-20," 16,675 "
109,South Africa,Mar-20," 15,388 "
110,South Africa,Apr-20," 4,619 "
111,South Africa,May-20," 2,651 "
112,South Africa,Jun-20," 2,709 "
113,South Africa,Jul-20," 1,837 "
114,South Africa,Aug-20," 2,319 "
115,South Africa,Sep-20," 3,868 "
116,South Africa,Oct-20," 6,198 "
117,South Africa,Nov-20," 8,214 "
118,South Africa,Dec-20," 10,858 "
119,South Africa,Jan-21," 8,844 "
120,South Korea,Feb-20," 31,443 "
121,South Korea,Mar-20," 18,873 "
122,South Korea,Apr-20," 15,395 "
123,South Korea,May-20," 19,616 "
124,South Korea,Jun-20," 18,865 "
125,South Korea,Jul-20," 20,371 "
126,South Korea,Aug-20," 23,288 "
127,South Korea,Sep-20," 19,576 "
128,South Korea,Oct-20," 22,349 "
129,South Korea,Nov-20," 20,808 "
130,South Korea,Dec-20," 19,163 "
131,South Korea,Jan-21," 18,498 "
132,Spain,Feb-20," 61,711 "
133,Spain,Mar-20," 51,441 "
134,Spain,Apr-20," 5,746 "
135,Spain,May-20," 10,552 "
136,Spain,Jun-20," 9,069 "
137,Spain,Jul-20," 35,788 "
138,Spain,Aug-20," 52,546 "
139,Spain,Sep-20," 37,145 "
140,Spain,Oct-20," 29,836 "
141,Spain,Nov-20," 20,536 "
142,Spain,Dec-20," 24,188 "
143,Spain,Jan-21," 20,712 "
144,UAE,Feb-20," 22,717 "
145,UAE,Mar-20," 18,332 "
146,UAE,Apr-20," 4,081 "
147,UAE,May-20," 4,617 "
148,UAE,Jun-20," 4,733 "
149,UAE,Jul-20," 7,752 "
150,UAE,Aug-20," 9,185 "
151,UAE,Sep-20," 8,332 "
